"Antimicrobial Susceptibility Testing: list of antibiotic recommeded to tested for organism or ogranism gorups","...2","...3"
"Organism or Organism Group","Antimicrobial Class","Antimicrobial Agents"
"Acinetobacter spp.","Beta-Lactams","Piperacillin, Ticarcillin, Ceftazidime, Cefepime, Cefiderocol"
NA,"Beta-Lactam Combination Agents","Piperacillin-tazobactam, Ticarcillin-clavulanate, Ampicillin-sulbactam, Ceftazidime-avibactam, Ceftolozane-tazobactam"
NA,"Carbapenems","Doripenem, Imipenem, Meropenem"
NA,"Lipopeptides","Colistin, Polymyxin B"
NA,"Aminoglycosides","Amikacin, Gentamicin, Tobramycin"
NA,"Tetracyclines","Minocycline"
NA,"Fluoroquinolones","Ciprofloxacin, Levofloxacin"
NA,"Folate Pathway Antagonists","Trimethoprim-sulfamethoxazole"
"Burkholderia cepacia complex","Beta-Lactam Combination Agents","Piperacillin-tazobactam, Ticarcillin-clavulanate"
NA,"Cephems","Ceftazidime"
NA,"Carbapenems","Meropenem"
NA,"Tetracyclines","Minocycline"
NA,"Fluoroquinolones","Levofloxacin"
NA,"Folate Pathway Antagonists","Trimethoprim-sulfamethoxazole"
NA,"Phenicols","Chloramphenicol"
"Enterobacterales","Penicillins","Ampicillin, Piperacillin, Mecillinam"
NA,"Beta-Lactam Combination Agents","Amoxicillin-clavulanate, Ampicillin-sulbactam, Ceftolozane-tazobactam, Ceftazidime-avibactam, Meropenem-vaborbactam, Piperacillin-tazobactam, Ticarcillin-clavulanate"
NA,"Cephems (Parenteral)","Cefazolin, Cefuroxime (parenteral), Cefoxitin, Cefotetan, Cefamandole, Cefmetazole, Cefonicid, Cefoperazone, Moxalactam, Cefotaxime, Ceftriaxone, Ceftazidime, Ceftizoxime, Cefepime, Cefiderocol"
NA,"Cephems (Oral)","Cefuroxime (oral), Cefazolin (surrogate), Loracarbef, Cefaclor, Cefdinir, Cefixime, Cefpodoxime, Cefprozil, Cephalexin, Ceftibuten, Cefetamet"
NA,"Monobactams","Aztreonam"
NA,"Carbapenems","Doripenem, Ertapenem, Imipenem, Meropenem"
NA,"Lipopeptides","Colistin, Polymyxin B"
NA,"Aminoglycosides","Amikacin, Gentamicin, Tobramycin, Netilmicin, Kanamycin, Streptomycin"
NA,"Macrolides","Azithromycin"
NA,"Tetracyclines","Tetracycline, Doxycycline, Minocycline"
NA,"Quinolones/Fluoroquinolones","Ciprofloxacin, Levofloxacin, Norfloxacin, Ofloxacin, Nalidixic acid, Moxifloxacin, Gemifloxacin, Gatifloxacin, Cinoxacin, Enoxacin, Grepafloxacin, Lomefloxacin, Sparfloxacin, Pefloxacin"
NA,"Folate Pathway Antagonists","Trimethoprim-sulfamethoxazole, Sulfonamides, Trimethoprim"
NA,"Phenicols","Chloramphenicol"
NA,"Fosfomycins","Fosfomycin"
NA,"Nitrofurans","Nitrofurantoin"
"Enterococcus spp.","Penicillins","Ampicillin, Penicillin"
NA,"Beta-Lactam Combination Agents","Ampicillin-sulbactam, Piperacillin-tazobactam"
NA,"High-Level Aminoglycosides","Gentamicin (high-level), Streptomycin (high-level)"
NA,"Fluoroquinolones","Ciprofloxacin, Levofloxacin, Norfloxacin"
NA,"Glycopeptides","Vancomycin, Teicoplanin"
