"LIFE EXPECTANCY  2019-2023 INDIA","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24"
"Age category","India","Andhra Pradesh","Assam","Bihar","Chhattisgarh","Delhi","Gujarat","Haryana","Himachal Pradesh","Jammu & Kashmir","Jharkhand","Karnataka","Kerala","Madhya Pradesh","Maharashtra","Odisha","Punjab","Rajasthan","Tamil Nadu","Telangana","Uttar Pradesh","Uttarakhand","West Bengal"
"0-1","70.3","70.7","68.599999999999994","69.3","64.599999999999994","74.2","70.400000000000006","68.8","74.400000000000006","74.400000000000006","69.5","70","75.099999999999994","67.599999999999994","72.8","70.5","70.8","70.400000000000006","73.400000000000006","70.8","68","71.3","72.099999999999994"
"1-5","71.400000000000006","71.3","70","70.099999999999994","66.3","74.099999999999994","71.2","69.8","74.7","74.7","70.400000000000006","70.3","74.599999999999994","69.7","72.900000000000006","71.900000000000006","71.099999999999994","71.900000000000006","73.400000000000006","71.3","70.099999999999994","71.8","72.599999999999994"
"5-10","67.7","67.5","66.2","66.400000000000006","62.5","70.3","67.400000000000006","66.099999999999994","71","70.8","66.599999999999994","66.5","70.8","66.3","69.099999999999994","68.3","67.400000000000006","68.400000000000006","69.599999999999994","67.5","66.5","68","68.8"
"10-15","62.9","62.6","61.3","61.6","57.7","65.400000000000006","62.6","61.3","66.099999999999994","65.900000000000006","61.9","61.7","65.900000000000006","61.5","64.2","63.5","62.5","63.5","64.7","62.7","61.7","63.1","63.9"
"15-20","58","57.8","56.4","56.8","53","60.5","57.7","56.4","61.2","61","57","56.9","61","56.7","59.3","58.7","57.7","58.7","59.8","57.9","56.9","58.3","59.1"
"20-25","53.3","53","51.6","52","48.3","55.7","52.9","51.6","56.4","56.2","52.3","52.1","56.2","52","54.5","53.9","52.9","53.9","55","53.1","52.1","53.5","54.3"
"25-30","48.6","48.2","46.9","47.3","43.8","50.9","48.2","47","51.7","51.4","47.7","47.4","51.4","47.3","49.8","49.3","48.3","49.2","50.3","48.3","47.5","48.8","49.5"
"30-35","43.9","43.5","42.3","42.6","39.299999999999997","46.1","43.6","42.3","46.9","46.5","43.1","42.7","46.6","42.7","45","44.6","43.6","44.6","45.6","43.6","42.9","44.1","44.7"
"35-40","39.299999999999997","38.9","37.6","38","34.799999999999997","41.3","39","37.799999999999997","42.2","41.8","38.5","38.200000000000003","41.9","38.200000000000003","40.4","40.1","39.1","39.9","40.9","39","38.299999999999997","39.5","40"
"40-45","34.799999999999997","34.4","33.200000000000003","33.4","30.5","36.700000000000003","34.5","33.299999999999997","37.5","37.1","33.9","33.700000000000003","37.200000000000003","33.799999999999997","35.799999999999997","35.6","34.700000000000003","35.4","36.4","34.5","33.799999999999997","35.1","35.4"
"45-50","30.4","30","28.9","29","26.2","32","30.1","29","33","32.700000000000003","29.6","29.4","32.6","29.5","31.4","31.4","30.3","31","31.9","30.1","29.4","30.8","30.8"
"50-55","26.1","25.9","24.8","24.6","22","27.7","25.9","24.8","28.7","28.4","25.3","25.2","28.1","25.3","27.1","27.2","26.2","26.7","27.7","26","25.1","26.8","26.5"
"55-60","22.1","21.9","21","20.399999999999999","18.2","23.4","21.8","20.8","24.4","24.3","21.3","21.3","23.8","21.2","23","23.2","22.4","22.6","23.7","22.1","21.1","22.7","22.3"
