group,organism,Blood,Respiratory,Urine,Skin & Soft Tissue,Sterile Body Fluid,CSF,Bone,ENT,GI,Eye,Female Genital,Catheter Tip
Non-fermenter,Elizabethkingia meningoseptica *,2,1,1,0,1,2,0,0,0,0,0,1
Non-fermenter,Sphingomonas paucimobilis,0,1,1,0,0,0,0,0,0,0,0,1
Non-fermenter,Chryseobacterium indologenes,0,1,1,1,0,0,0,1,0,0,0,1,,0.0,Unlikely
Non-fermenter,Burkholderia pseudomallei *,2,1,0,2,2,0,2,0,0,0,0,1,,1.0,Possible 
Non-fermenter,Burkholderia cepacia,1,2,1,1,1,0,0,1,0,0,0,2,,2.0,Expected 
Non-fermenter,Stenotrophomonas maltophilia,1,2,1,1,1,0,0,1,0,0,0,2,,*,not in our dataset
Non-fermenter,Pseudomonas aeruginosa,2,2,2,2,2,1,2,2,0,2,0,2
Non-fermenter,Acinetobacter calcoaceticus,1,1,1,1,1,0,0,1,0,0,0,1
Non-fermenter,Acinetobacter lwoffii,1,1,1,1,0,0,0,1,0,0,0,1
Non-fermenter,Acinetobacter spp.,2,2,1,2,1,1,1,1,0,1,0,2
Non-fermenter,Acinetobacter baumannii,2,2,1,2,2,1,1,1,0,1,0,2
Enterobacterales,Serratia marcescens *,2,2,2,1,1,1,1,0,0,1,1,2
Enterobacterales,Providencia spp.,1,0,2,0,1,0,0,0,0,0,0,1
Enterobacterales,Morganella morganii,1,0,2,1,1,0,1,0,0,0,0,0
Enterobacterales,Proteus vulgaris,1,0,2,1,1,0,1,0,0,0,0,0
Enterobacterales,Proteus mirabilis,1,0,2,1,1,0,1,0,0,0,0,0
Enterobacterales,Citrobacter spp.,1,1,2,1,1,1,1,0,0,0,0,0
Enterobacterales,Citrobacter koseri,1,1,2,1,1,2,1,0,0,0,0,0
Enterobacterales,Citrobacter freundii,1,1,2,1,1,1,1,0,0,0,0,0
Enterobacterales,Enterobacter spp.,2,2,2,1,1,1,1,0,0,0,1,1
Enterobacterales,Enterobacter aerogenes,2,1,2,1,1,1,1,0,0,0,1,1
Enterobacterales,Enterobacter cloacae,2,2,2,1,1,1,1,0,0,0,1,1
Enterobacterales,Klebsiella spp.,2,2,2,1,2,1,1,0,0,0,1,1
Enterobacterales,Klebsiella oxytoca,2,1,2,1,1,1,1,0,0,0,1,1
Enterobacterales,Klebsiella pneumoniae,2,2,2,1,2,2,1,1,0,1,1,1
Enterobacterales,Escherichia coli,2,1,2,2,2,2,1,0,1,1,2,1
Enteric pathogen,Plesiomonas shigelloides,0,0,0,0,0,0,0,0,2,0,0,0
Enteric pathogen,Aeromonas spp.,1,0,1,1,1,0,0,0,1,0,0,0
Enteric pathogen,Vibrio spp.,0,0,0,0,0,0,0,0,2,0,0,0
Enteric pathogen,Vibrio cholerae,0,0,0,0,0,0,0,0,2,0,0,0
Enteric pathogen,Campylobacter spp.,0,0,0,0,0,0,0,0,2,0,0,0
Enteric pathogen,Shigella spp.,0,0,0,0,0,0,0,0,2,0,0,0
Enteric pathogen,Salmonella spp.,2,0,1,0,0,0,0,0,2,0,0,0
Enteric pathogen,Salmonella Typhimurium,1,0,0,0,0,0,0,0,2,0,0,0
Enteric pathogen,Salmonella Enteritidis,1,0,0,0,0,0,0,0,2,0,0,0
Enteric pathogen,Salmonella Paratyphi,2,0,1,0,0,0,0,0,2,0,0,0
Enteric pathogen,Salmonella Typhi,2,0,1,0,0,0,0,0,2,0,0,0
Gram-positive,Streptococcus spp.,1,1,0,1,1,1,1,1,0,0,1,0
Gram-positive,Streptococcus viridans group *,2,0,0,1,1,0,1,1,0,1,0,0
Gram-positive,Streptococcus agalactiae,2,0,1,1,1,2,0,0,0,0,2,0
Gram-positive,Streptococcus pyogenes,1,1,0,2,1,1,1,2,0,0,1,0
Gram-positive,Streptococcus pneumoniae,2,2,0,0,2,2,0,1,0,0,0,0
Gram-positive,Enterococcus spp.,2,0,2,1,2,1,1,0,0,0,1,1
Gram-positive,Enterococcus faecium,2,0,2,1,2,1,1,0,0,0,1,1
Gram-positive,Enterococcus faecalis,2,0,2,1,2,1,1,0,0,0,1,1
Gram-positive,Staphylococcus saprophyticus,0,0,2,0,0,0,0,0,0,0,1,0
Gram-positive,Staphylococcus spp. not specified,1,0,0,1,0,0,1,0,0,0,0,1
Gram-positive,Staphylococcus spp.,1,0,0,1,0,0,1,0,0,0,0,1
Gram-positive,Staphylococcus haemolyticus,1,0,0,1,0,0,1,0,0,0,0,2
Gram-positive,Staphylococcus epidermidis,1,0,0,1,0,0,1,0,0,1,0,2
Gram-positive,Staphylococcus aureus,2,2,1,2,2,2,2,2,0,2,1,2
Fastidious/other,Listeria monocytogenes *,2,0,0,0,1,2,0,0,1,0,1,0
Fastidious/other,Neisseria gonorrhoeae *,1,0,1,0,1,0,0,1,1,2,2,0
Fastidious/other,Neisseria meningitidis *,2,1,0,1,2,2,0,1,0,0,1,0
Fastidious/other,Haemophilus influenzae *,1,2,0,0,1,2,0,2,0,1,0,0
Anaerobe,Bacteroides fragilis *,1,0,0,1,2,0,1,0,1,0,1,0
Fungi,Candida glabrata *,2,0,2,0,1,0,0,0,0,1,0,2
Fungi,Candida parapsilosis *,2,0,1,0,1,0,0,0,0,1,0,2
Fungi,Candida auris *,2,0,1,0,1,0,0,1,0,0,0,2
Fungi,Candida tropicalis *,2,0,1,0,1,0,0,0,0,1,0,2
Fungi,Candida albicans *,2,0,1,0,1,1,0,0,0,1,1,2










































































































































































































































































































































































































































































































































































































































































































































































































































































































































































